S	C	ext_corr	df	SS	MS	Model_F	R2	pval
90	0.02	0.884109370596	1	22.1964622609	22.1964622609	120.538603728	0.0132190703978	0.0
90	0.04	0.905978280612	1	25.246921121	25.246921121	142.314066172	0.0155699317487	0.0
90	0.06	0.914518878043	1	28.5515354343	28.5515354343	160.481727238	0.0175227436182	0.0
90	0.08	0.923044473221	1	26.2918467105	26.2918467105	151.350022307	0.0165421611304	0.0
90	0.1	0.922492832739	1	23.3418437138	23.3418437138	133.869317594	0.0146595743915	0.0
90	0.12	0.926907858897	1	21.8839688682	21.8839688682	126.123501057	0.0138230813121	0.0
90	0.14	0.927717258263	1	21.528605525	21.528605525	123.659791633	0.0135567204279	0.0
90	0.16	0.930881355083	1	23.0708043245	23.0708043245	133.720965243	0.0146435667222	0.0
90	0.18	0.933637546607	1	20.1346640369	20.1346640369	113.637420864	0.0124716794156	0.0
90	0.2	0.935069350433	1	23.4090404387	23.4090404387	130.602737657	0.0143069800944	0.0
