"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	41.0702518758484	0.0692432898354589	593.129702147928	0
"extorders$C"	-34.0881349929448	0.55797833054109	-61.0922201223988	0
"extorders$S"	-0.0166296427097494	0.000858857307682969	-19.3625210625651	1.72915162916812e-83
"extorders$C:extorders$S"	-0.172142345048053	0.00692086941351897	-24.8729364423198	1.80766598300674e-136
