S	C	ext_corr	df	SS	MS	Model_F	R2	pval
70	0.02	0.84831833734	1	17.8591410546	17.8591410546	91.3525207867	0.0128858764632	0.0
70	0.04	0.875113665432	1	19.7310228683	19.7310228683	107.887097231	0.0151827767251	0.0
70	0.06	0.877352815588	1	19.8827193434	19.8827193434	111.424755746	0.0156728229884	0.0
70	0.08	0.898429419758	1	20.1131969697	20.1131969697	112.401522415	0.0158080415094	0.0
70	0.1	0.903792207114	1	24.1453951885	24.1453951885	134.247137757	0.0188225583275	0.0
70	0.12	0.907205584862	1	21.993551658	21.993551658	124.268160988	0.017447835181	0.0
70	0.14	0.90602451331	1	20.8255443142	20.8255443142	117.821773532	0.0165577184592	0.0
70	0.16	0.909390291853	1	21.7601528138	21.7601528138	121.51466101	0.0170678293108	0.0
70	0.18	0.913445408034	1	18.0003328759	18.0003328759	99.9332457745	0.0140792033842	0.0
70	0.2	0.917187708142	1	22.3023911179	22.3023911179	121.780393433	0.0171045154069	0.0
