S	C	ext_corr	df	SS	MS	Model_F	R2	pval
50	0.02	0.789326057973	1	18.0199381978	18.0199381978	86.7451275968	0.0170598772249	0.0
50	0.04	0.813270847176	1	13.4559762724	13.4559762724	66.395747281	0.0131102999438	0.0
50	0.06	0.845128191168	1	13.3206774148	13.3206774148	70.1813241284	0.0138474375008	0.0
50	0.08	0.843303866163	1	14.7571062312	14.7571062312	77.3859380848	0.0152473011962	0.0
50	0.1	0.856899680212	1	14.0294366455	14.0294366455	74.9972018241	0.014783607962	0.0
50	0.12	0.868075380046	1	19.491507711	19.491507711	103.914857336	0.0203678148777	0.0
50	0.14	0.866888844043	1	15.4912316207	15.4912316207	83.8031986498	0.0164908390534	0.0
50	0.16	0.87172807763	1	16.976736139	16.976736139	89.6718385063	0.0176253188792	0.0
50	0.18	0.876312095811	1	16.7815327401	16.7815327401	88.724303662	0.0174423260168	0.0
50	0.2	0.880319815032	1	19.4970112402	19.4970112402	103.347990182	0.0202589571189	0.0
