x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0.4580083720891206,0.3090072289292092,0.3143437139029672,0.2839802927500896,0.5824337754243256,0.8958977347627723,0.8214011020914349,0.5066671370136244,0.8102122029938317,0.9040607497592525,0.009278019590482245,0.9065984772634004,0.39419099693008786,0.6886723128581114,0.275829386566967,0.7034831562529535,0.5039942471140626,0.21760201805253687,0.3485300548601684,0.4504244166959821,0.6285525134072121,0.21911371443473127,0.5478486609389797,0.6071840135727626,0.25575619445526243,0.7175798516743332,0.38929396119849824,0.14586807058544093,0.4997873602094869,0.6015176647867038,0.050278158428312736,0.7733197178532192,0.26009992628484047,0.6586977560288931,0.11194258939239266,0.9982290179664552,0.8153386465271975,0.16924015408554038,0.5796400105593762,0.2941823137739181,0.7465346672296762,0.8977367547677697,0.9581084560357651,0.9883100081439109,0.29019074074422946,0.04080310743159532,0.5676206342305701,0.7410300626445516,0.6579862346266694,0.5979832511828114
0.465871542893694,0.019241481889494216,0.2320871898352406,0.24938789633866504,0.47903750905254544,0.6908241643855576,0.6429248208666408,0.13816868332823554,0.7541640971350368,0.4412579120741019,0.003447032483372895,0.726274698003544,0.32134842164515015,0.5731896492627773,0.200844229830409,0.5115921655609381,0.40462224002379166,0.1565790369075124,0.21919876852230838,0.449344211179257,0.6815014820437184,0.17279774109793553,0.47941006626291965,0.3978766385215288,0.2360507383772184,0.4049918624479828,0.4314913302172684,0.16034428492003905,0.31354358342678146,0.45831757411516993,0.030652817256539757,0.7850332747533287,0.2959662634829886,0.5376185398452381,0.10532848602978737,0.9373500306459809,0.7843832647798432,0.14586770487385214,0.3646718990774033,0.2562630157313416,0.7698920819375694,0.9526097823732529,0.9576173924617557,1.0699193355815761,0.3208099422789834,0.04084865810237725,0.5875135123051957,0.8133597169482184,0.7400106986894365,0.6978645518146012
0.48589344152559877,0.0028780821478102516,0.17459743999152674,0.2205965147070752,0.4026339333750437,0.5551487929001396,0.5218385174109559,0.045950024671576446,0.6961052140288786,0.1800193267029912,0.0010918883855924124,0.6270426443699747,0.24355462240255787,0.4142062706528501,0.13762225952726548,0.29931702620919176,0.2925952818946178,0.11003131830089458,0.13476850704966672,0.4388527544593161,0.6995820445041949,0.14045859981847755,0.4066742605225287,0.3046048871259277,0.21145286446322606,0.22171770300057012,0.4556048079999687,0.17101259823235065,0.17541461733466102,0.3253014133557517,0.01753004986791885,0.7645536433626869,0.30593429553771134,0.44090511143651273,0.09544201982783944,0.8175222519230905,0.7324183702164059,0.1165749921302358,0.1824126815898037,0.2126637338963456,0.7697544683155413,0.9891620510733963,0.8568028532934255,1.1197785008982706,0.3351785657297956,0.038740272508861105,0.5990578104769402,0.8502172732873494,0.7765856739640848,0.8166452739439625
0.5164702723459105,0.0008776554391093478,0.13744844339500492,0.19866434109659847,0.34797580845457005,0.4641009806494128,0.43939119841387053,0.023458498459381822,0.6440183757540754,0.0773827931846087,0.0003878796778952715,0.5843663834351999,0.18889634557031418,0.26955450360064065,0.08919050080170964,0.1549637507393223,0.19279441633105124,0.07855619992702811,0.08317002773589627,0.4217414557213138,0.6914426171100486,0.11847956100886116,0.3335124085737646,0.26861320378107817,0.18629093414243225,0.1212402725288929,0.45361905481783343,0.1783902664819036,0.09604699127734051,0.22086523187025686,0.009711919712113156,0.714878880613701,0.29061218362168256,0.3633327178172949,0.08409140855698229,0.6671243358787237,0.663467347232245,0.09004722950691374,0.07537166585418763,0.16899972468040375,0.7423216007869307,0.9990873858472701,0.7072793225802013,1.1275010818680251,0.33668931291371423,0.035062394095649985,0.6007422811779004,0.8351133320568321,0.7553711829591043,0.9533233798408711
0.553936774808185,0.0003859303016030306,0.11330076337125626,0.18193647468396743,0.30794348935988713,0.40022645228867876,0.3809866495914303,0.016346917915445975,0.6007955177873247,0.03802365236212239,0.00017786859895863836,0.579590232983623,0.15076263761727565,0.16724650124524157,0.05668412040259333,0.07609094181606806,0.12088435142969092,0.05818954366198135,0.052997137818739465,0.40252983075153953,0.6654594043061556,0.10357397003399173,0.2656558697055116,0.26025912922904865,0.16149872844405933,0.06888452287814899,0.4278842068442159,0.1829065483195431,0.05592749720662778,0.14776517126568967,0.005443120111913113,0.6463363834035641,0.2600309413618125,0.30263788992920854,0.0727232557805544,0.5213649768483286,0.5856560124385916,0.06822215908668336,0.028754199275717207,0.1297086023968958,0.6893428649746092,0.9781315798758307,0.5576097767041795,1.092848119510186,0.32725559225917494,0.03054909660589794,0.5914044192704817,0.7707118877930894,0.696242973925017,1.1052003243185176
0.5950956244579438,0.00020954208703990798,0.09750007071842354,0.16938677691056764,0.27843164275309407,0.35438387447178965,0.33880924906765586,0.01355284840760821,0.5669488556182544,0.021336912280746304,0.00010489761009370565,0.597965799958048,0.12294330580384735,0.10350483228655702,0.0370467172053691,0.037462643379704084,0.07606881615689902,0.04524476784146726,0.03569270302882236,0.38550007586138785,0.6299506628593592,0.09359235352864968,0.2078267165876405,0.2658990803561742,0.1379132966254376,0.04200599790710729,0.3879189069737312,0.18488065828995787,0.03582452482187057,0.09989582640639488,0.003204188577607512,0.5705906378832521,0.22461249111635556,0.2569507880130779,0.062276482046418474,0.39938458022516005,0.5073448846564577,0.05129740539185927,0.011191419716401016,0.09698836985111693,0.6167905905996038,0.9263865900238176,0.4272005752471006,1.0228018309550448,0.30869847360541325,0.025799493286916678,0.5704334276397941,0.6746314330228019,0.6251275440611961,1.2674279512749163
0.6373563870073933,0.00013116988139340183,0.08725804521187784,0.16053410472041543,0.25720210843843183,0.3216929157010612,0.3086512882310754,0.012335312184040981,0.5417836610173483,0.013333601384193473,7.583276214480864e-5,0.6290798622413261,0.10162393675362104,0.06572071307116172,0.02582444534292366,0.01922028359314219,0.05001077984153464,0.037051079852447766,0.025758868229332217,0.3735945688447179,0.5917089540210397,0.08728752285052412,0.16159079416350214,0.27954110513587016,0.11645811083608795,0.027906750667187077,0.3431358409321369,0.1846625879099199,0.025175242802300882,0.0693880378178122,0.0020261991101275037,0.49622365923138617,0.19053048308384482,0.22420812136576296,0.05323149737688958,0.30486445559180886,0.43465264877447995,0.03865523973924352,0.004661797551958926,0.0711689348472607,0.5327019973003455,0.8477509644322191,0.3203095237522221,0.9271114667086636,0.2830631901318647,0.021206369450532704,0.5379921157140398,0.566284062606385,0.5553636965084428,1.4326430579794402
0.6787071382844005,9.136577328074043e-5,0.08089622924484885,0.15506856548409897,0.24279936395210946,0.29914350666164363,0.28788550170091903,0.011856029645526171,0.5240748971424852,0.00904532412540963,6.40287449157473e-5,0.6661470603915524,0.08467213535022304,0.043407601254727535,0.01955728658084538,0.010476144706479045,0.035070843281927035,0.03189035399929626,0.020017604334518838,0.3684358982163639,0.5553810445361496,0.08396707899401927,0.12599360003016893,0.29839701870786495,0.09763906458996055,0.0202020482230697,0.2993456829583794,0.18267531646196664,0.01910107597045609,0.04994868084921635,0.0013876451351741207,0.4278851616744906,0.16028453857091263,0.2023651051132713,0.0457244694162933,0.23433898971461803,0.3708985165915836,0.029411910188171717,0.0021115446429266316,0.05152602194568383,0.4452747372886734,0.7492183513914729,0.23576145587198774,0.8157418709484592,0.2526109944997462,0.01699931449534533,0.4952468598621021,0.4594419897978521,0.49134800106653714,1.5910149479444289
0.7176629190041732,6.928918307649879e-5,0.07738303678560646,0.15271161868812322,0.23411781352829678,0.28463151661431196,0.2746456033160373,0.011819374424334509,0.5124522320541238,0.006524335259545464,6.070765593267211e-5,0.7048674219198324,0.07087430089040532,0.02994884986255805,0.016159770774573395,0.0061000497594006775,0.026395601647520098,0.028716832610005866,0.01673070440376395,0.3707662044576045,0.5236687899087205,0.083263900741,0.09906248063463537,0.32099171395742865,0.08153166972683161,0.015818693267748825,0.2592213265491895,0.17937402537004848,0.015384229649923835,0.03737481973149857,0.001027888984956789,0.3673475799328368,0.13442103774197717,0.18965412100477133,0.03967185447295325,0.1825237805777526,0.31707199365192923,0.022714058805234468,0.0010427803327544773,0.036945219760865754,0.36140918155353197,0.6397203990848924,0.17064742557823026,0.6980027704731399,0.2196954683572861,0.013303019740933683,0.44450595698191375,0.3620094372155571,0.4339793890140909,1.730969105208156
0.7532112535744084,5.633758021619033e-5,0.07606576735688843,0.15319085455775752,0.23025436052410173,0.27657436644280464,0.2675058877407217,0.012111249603987365,0.5055949322044189,0.0049239364274555105,6.270157000323531e-5,0.7425397672306852,0.059485834194381165,0.021556542615827276,0.014504539129744377,0.0037861990130251145,0.02127373356209508,0.026903825460355035,0.014966389917158197,0.3808067943192367,0.4978320518720381,0.08500704012328708,0.07876965160420143,0.3464105509188374,0.06795634341740353,0.013266821067504906,0.22364095856198432,0.17519493426313132,0.012972866459374621,0.029064605357521013,0.0008185283458162312,0.3147708876454864,0.1126755854590071,0.18471583285121648,0.034879637086938954,0.1445134938985731,0.2726575308740911,0.017857449996891976,0.0005599730680072119,0.026305922757613735,0.2859437183788072,0.5286131083713835,0.12166649806836917,0.5821354965706791,0.18658690124810431,0.010174952570679505,0.3891280248709993,0.27791032804586274,0.38302801268479747,1.8407862622256326
