S	C	ext_corr	df	SS	MS	Model_F	R2	pval
80	0.02	0.866213820516	1	20.4373370367	20.4373370367	106.917681854	0.0131917048453	0.0
80	0.04	0.897685124484	1	20.890544141	20.890544141	113.527256393	0.0139957929998	0.0
80	0.06	0.899996480525	1	22.419773645	22.419773645	128.16906078	0.0157723842343	0.0
80	0.08	0.907712941745	1	25.5913703675	25.5913703675	147.405768406	0.0180967986859	0.0
80	0.1	0.914118645097	1	23.6667565798	23.6667565798	134.062714123	0.0164856960449	0.0
80	0.12	0.915319049325	1	25.1048421126	25.1048421126	140.481511834	0.0172613910383	0.0
80	0.14	0.921062830858	1	25.6059946235	25.6059946235	146.017392939	0.0179294058317	0.0
80	0.16	0.922978840056	1	22.1427369178	22.1427369178	124.805514776	0.0153648286357	0.0
80	0.18	0.924548030402	1	21.1881767041	21.1881767041	118.182923858	0.0145613923401	0.0
80	0.2	0.925893602954	1	22.2678903383	22.2678903383	122.771832305	0.015118246743	0.0
